tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20181104C,-9999,-9999,77.05,0.14,-9999,17.44,0.15,-9999,184.96,-13.47,17.0,3.4,-9999,-9999.0,-9999.0,-9999,62.2,580.7,0.0,5.8,0.0,10.1,101.3,580.81762,0.00051,475.5,429.7,0.00098,<0.00048,-9999.0,9.7,2.7,-9999,20.7,5.7,-9999,1,58426.4271563405,2.2e-09,58426.4269821738,2.3e-09,0.00146,0.00014,7.4,1.7,-10.9,2.2,800.2,400.2,561.0,354822.311,348373,0.44,0
FRB20181115A,-9999,-9999,142.98,0.039,-9999,56.4,0.18,-9999,159.11,44.2,23.0,11.0,-9999,-9999.0,-9999.0,-9999,18.8,981.8,0.0,1.7,0.0,2.8,25.2,981.613,0.016,941.6,951.8,0.00492,<0.0021,-9999.0,0.44,0.2,-9999,1.92,0.47,-9999,0,58437.5798384896,2.7e-09,58437.5795441385,5.4e-09,0.00183,0.00012,19.6,2.5,-62.0,7.3,568.4,400.2,468.8,329974.605,328314,0.473,0
FRB20181116A,-9999,-9999,36.05,0.043,-9999,4.52,0.23,-9999,161.75,-51.22,12.7,6.0,-9999,-9999.0,-9999.0,-9999,25.3,354.2,0.0,2.9,0.0,4.9,35.9,355.433,0.0018,318.3,326.4,0.00197,<0.00047,-9999.0,4.0,1.4,-9999,5.23,0.91,-9999,0,58438.2812218341,1.7e-09,58438.2811152523,1.8e-09,0.000439,1.7e-05,2.37,0.7,-11.0,1.4,704.7,400.2,445.8,136752.629,134058,0.569,0
FRB20181116B,-9999,-9999,232.66,0.2,-9999,64.94,0.056,-9999,100.53,44.64,22.0,17.0,-9999,-9999.0,-9999.0,-9999,16.0,409.2,0.0,1.2,0.0,2.0,25.8,409.876,0.018,373.5,380.6,0.00393,0.000171,2.5e-05,0.74,0.24,-9999,1.92,0.4,-9999,0,58438.8235451294,2.6e-09,58438.823422222,5.9e-09,0.000642,7.9e-05,-8.8,1.7,-4.7,7.5,505.5,400.2,400.2,304225.793,303385,0.513,0
FRB20181117C,-9999,-9999,53.21,0.17,-9999,25.73,0.18,-9999,162.76,-24.4,14.9,6.8,-9999,-9999.0,-9999.0,-9999,28.3,1776.0,0.0,1.0,0.0,1.4,36.0,1773.7387,0.0011,1707.6,1705.2,0.00393,0.00237,0.00016,1.57,0.53,-9999,3.0,1.1,-9999,0,58439.3255450566,1.9e-09,58439.3250131752,1.9e-09,<0.00010,-9999.0,48.6,5.1,-46.3,4.8,800.2,541.2,676.5,227516.73,225785,0.508,0
FRB20181117A,-9999,-9999,147.73,0.22,-9999,52.51,0.22,-9999,163.13,48.07,19.0,11.0,-9999,-9999.0,-9999.0,-9999,12.2,960.8,0.0,3.8,0.0,7.6,13.5,959.28,0.016,921.2,932.6,0.0059,<0.0028,-9999.0,0.61,0.49,-9999,3.1,1.7,-9999,0,58439.5844513635,6.3e-09,58439.5841637094,7.9e-09,0.00234,0.00025,1.0,1.6,-0.6,2.1,800.2,400.2,800.2,338484.086,338042,0.457,0
FRB20181117B,-9999,-9999,81.09,0.19,-9999,79.99,0.099,-9999,133.04,23.06,69.0,38.0,-9999,58.0,37.0,-9999,17.1,540.2,4.4,1.3,8.0,2.6,18.9,538.2,0.0081,473.2,470.1,0.00786,<0.0013,-9999.0,3.6,3.2,-9999,11.0,6.9,-9999,1,58439.8963540732,3.3e-09,58439.8961926861,4.1e-09,0.00128,0.0002,11.4,4.4,-31.2,8.7,630.4,400.2,480.4,294874.296,294261,0.527,0
FRB20181118B,-9999,-9999,58.28,0.19,-9999,10.79,0.26,-9999,178.42,-31.89,11.8,6.9,-9999,-9999.0,-9999.0,-9999,18.1,422.2,0.0,2.7,0.0,5.3,19.5,422.2771,0.0089,369.2,364.5,0.00393,<0.0018,-9999.0,0.78,0.53,-9999,3.2,1.9,-9999,0,58440.3357948862,4.7e-09,58440.3356682603,5.4e-09,0.00161,0.00012,5.3,1.3,-9.1,1.9,800.2,400.2,534.8,368797.13,366618,0.411,0
FRB20181119D,FRB121102,FRB20121102A,82.994575,4e-07,RA from Chaterjee et al. (2017),33.147941,4e-06,Dec from Chaterjee et al. (2017),174.88,-0.22,17.04,0.0,No error on exposure due to precise position. See Section 2.2.,-9999.0,-9999.0,-9999,23.7,595.2,0.0,12.0,0.0,21.8,41.8,564.367,0.043,375.9,277.3,0.03637,<0.0069,-9999.0,0.46,0.28,-9999,12.6,5.5,-9999,2,58441.401872293,3.8e-08,58441.401703059,4e-08,0.0081,0.0027,75.0,23.0,-98.0,32.0,684.6,503.6,587.2,1288631.088,1285296,0.41,0
FRB20181119C,-9999,-9999,190.1,0.17,-9999,82.16,0.21,-9999,123.39,34.96,86.0,44.0,-9999,87.0,45.0,-9999,27.0,283.1,2.9,1.1,5.5,2.1,40.7,284.9594,0.0025,240.3,247.0,0.00098,<0.00048,-9999.0,2.8,1.3,-9999,3.5,1.6,-9999,0,58441.7128369598,2.8e-09,58441.7127515106,2.9e-09,0.000449,1.6e-05,-1.81,0.62,-5.7,1.5,657.7,400.2,400.2,187590.083,186042,0.402,0
FRB20181122A,-9999,-9999,60.04,0.22,-9999,55.48,0.22,-9999,147.51,1.89,21.0,12.0,-9999,-9999.0,-9999.0,-9999,12.2,661.6,0.0,1.2,0.0,2.2,14.9,662.821,0.015,466.7,364.1,0.00295,0.000182,5.8e-05,0.53,0.26,-9999,1.42,0.59,-9999,0,58444.3279109816,2.9e-09,58444.3277122252,5.4e-09,0.00068,0.00014,-4.9,1.7,0.6,3.2,661.4,400.2,400.2,386618.096,385465,0.381,0
FRB20181122B,-9999,-9999,281.08,0.16,-9999,85.02,0.088,-9999,117.34,27.17,113.0,70.0,-9999,100.0,73.0,-9999,64.9,224.8,3.5,1.9,6.4,3.5,122.9,225.75547,0.00071,171.4,174.7,0.00098,0.0001391,5.6e-06,14.7,7.2,-9999,22.0,11.0,-9999,0,58444.42905271589,2.8e-10,58444.42898501982,3.5e-10,0.000246,1.1e-05,4.86,0.25,-13.27,0.43,729.1,400.2,480.7,201768.605,183913,0.409,0
